Account,Date,Amount
2000-4648-6209,07/2018,$202.10
2000-4648-6209,06/2018,$182.00
2000-4648-6209,05/2018,$131.77
2000-4648-6209,04/2018,$121.11
2000-4648-6209,03/2018,$162.70
2000-4648-6209,02/2018,$179.30
2000-4648-6209,01/2018,$397.04
2000-4648-6209,12/2017,$205.89
2000-4648-6209,11/2017,$149.77
2000-4648-6209,10/2017,$166.71
2000-4648-6209,09/2017,$183.97
2000-4648-6209,08/2017,$184.70
2000-4648-6209,07/2017,$217.80
2000-4648-6209,06/2017,$252.24
2000-4648-6209,05/2017,$199.93
2000-4648-6209,04/2017,$202.98
2000-4648-6209,03/2017,$177.66
2000-4648-6209,02/2017,$230.15
2000-4648-6209,01/2017,$237.35
2000-4648-6209,12/2016,$217.03
2000-4648-6209,11/2016,$171.37
2000-4648-6209,10/2016,$183.52
2000-4648-6209,09/2016,$295.56
2000-4648-6209,08/2016,$274.75
2000-4648-6209,07/2016,$398.55
2000-4648-6209,06/2016,$368.09
2000-4648-6209,05/2016,$287.31
2000-4648-6209,04/2016,$328.65
2000-4648-6209,03/2016,$295.25
2000-4648-6209,02/2016,$311.19
2000-4648-6209,01/2016,$404.79
2000-4648-6209,12/2015,$261.97
2000-4648-6209,11/2015,$274.16
2000-4648-6209,10/2015,$288.24
2000-4648-6209,09/2015,$391.56
2000-4648-6209,08/2015,$470.00
